date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:59	111722/111722	---MCZ	200	added ('OK')	text/html	etag:W/%2266854d74-1b46a%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html	(from )
13:50:00	447/447	---M--	200	added ('OK')	text/plain	etag:%226745c97f-1bf%22	https://demos.themeselection.com/robots.txt		(from )
13:50:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2004%20Dec%202024%2006:50:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/eProjectS2/eco/www.googletagmanager.com/gtm.15445.delayed	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:02	31173/31173	---M--	200	added ('OK')	text/css	etag:%2266854d74-79c5%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/fonts/flag-icons.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/fonts/flag-icons.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:03	117095/117095	---M--	200	added ('OK')	text/css	etag:%2266854d74-1c967%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/fonts/remixicon/remixicon.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/fonts/remixicon/remixicon.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:03	4080/4080	---M--	200	added ('OK')	text/css	etag:%2266854d74-ff0%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/node-waves/node-waves.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/node-waves/node-waves.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:04	47093/47093	---M--	200	added ('OK')	text/css	etag:%2266854d74-b7f5%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/css/rtl/theme-default.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:05	2653/2653	---M--	200	added ('OK')	text/css	etag:%2266854d74-a5d%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/css/demo.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/css/demo.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:05	5468/5468	---M--	200	added ('OK')	text/css	etag:%2266854d74-155c%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:09	1787/1787	---M--	200	added ('OK')	text/css	etag:%2266854d74-6fb%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:09	19811/19811	---M--	200	added ('OK')	text/css	etag:%2266854d74-4d63%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:10	803748/803748	---M--	200	added ('OK')	text/css	etag:%2266854d74-c43a4%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/css/rtl/core.css	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:11	23045/23045	---M--	200	added ('OK')	application/javascript	etag:%2266854d74-5a05%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/js/helpers.js	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/js/helpers.js	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
13:50:11	43972/43972	---M--	200	added ('OK')	application/javascript	etag:%2266854d74-abc4%22	https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/js/template-customizer.js	D:/eProjectS2/eco/demos.themeselection.com/materio-aspnet-core-mvc-admin-template/assets/vendor/js/template-customizer.js	(from https://demos.themeselection.com/materio-aspnet-core-mvc-admin-template/html/vertical-menu-template/index.html)
